"Time","Message","Severity"
"12/23/2023 4:07 PM","Clearing existing Azure connection","Information"
"12/23/2023 4:07 PM","Clearing existing Azure context 
","Information"
"12/23/2023 4:07 PM","Clearing of existing connection and context completed.","Information"
"12/23/2023 4:09 PM","
Working in Subscription: Microsoft Azure Sponsorship 2","Information"
"12/23/2023 4:09 PM","Listing Azure Logic Apps workspace from Microsoft Azure Sponsorship 2","Information"
"12/23/2023 4:09 PM","Creating ARM Template","Information"
"12/23/2023 4:09 PM","@{properties=; id=/subscriptions/3856a5d4-98c0-4e28-a641-b8ba735c9bd0/resourceGroups/cloud-pc-rg/providers/Microsoft.Logic/workflows/Block-AADUser-Incident; name=Block-AADUser-Incident; type=Microsoft.Logic/workflows; location=centralindia; tags=; identity=}","Information"
"12/23/2023 4:09 PM","@{kind=V1; properties=; id=/subscriptions/3856a5d4-98c0-4e28-a641-b8ba735c9bd0/resourceGroups/cloud-pc-rg/providers/Microsoft.Web/connections/Azuread-Block-AADUser-Incident; name=Azuread-Block-AADUser-Incident; type=Microsoft.Web/connections; location=centralindia}","Information"
"12/23/2023 4:09 PM","@{properties=; id=/subscriptions/3856a5d4-98c0-4e28-a641-b8ba735c9bd0/providers/Microsoft.Web/locations/centralindia/managedApis/azuread; name=azuread; type=Microsoft.Web/locations/managedApis; location=centralindia}","Information"
"12/23/2023 4:09 PM","@{kind=V1; properties=; id=/subscriptions/3856a5d4-98c0-4e28-a641-b8ba735c9bd0/resourceGroups/cloud-pc-rg/providers/Microsoft.Web/connections/Microsoftsentinel-Block-AADUser-Incident; name=Microsoftsentinel-Block-AADUser-Incident; type=Microsoft.Web/connections; location=centralindia}","Information"
"12/23/2023 4:09 PM","@{properties=; id=/subscriptions/3856a5d4-98c0-4e28-a641-b8ba735c9bd0/providers/Microsoft.Web/locations/centralindia/managedApis/azuresentinel; name=azuresentinel; type=Microsoft.Web/locations/managedApis; location=centralindia}","Information"
"12/23/2023 4:09 PM","@{kind=V1; properties=; id=/subscriptions/3856a5d4-98c0-4e28-a641-b8ba735c9bd0/resourceGroups/cloud-pc-rg/providers/Microsoft.Web/connections/Office365-Block-AADUser-Incident; name=Office365-Block-AADUser-Incident; type=Microsoft.Web/connections; location=centralindia}","Information"
"12/23/2023 4:09 PM","@{properties=; id=/subscriptions/3856a5d4-98c0-4e28-a641-b8ba735c9bd0/providers/Microsoft.Web/locations/centralindia/managedApis/office365; name=office365; type=Microsoft.Web/locations/managedApis; location=centralindia}","Information"
"12/23/2023 4:09 PM","ARM Template created successfully at C:\certs\Block-AADUser-Incident\azuredeploy.json","Information"
